date,margin_balance,margin_buy
2024-01-02 00:00:00,21124861531.0,209097061.0
2024-01-03 00:00:00,21148969827.0,141587803.0
2024-01-04 00:00:00,21194032493.0,169184097.0
2024-01-05 00:00:00,21175273784.0,173764109.0
2024-01-08 00:00:00,21224347111.0,197604417.0
2024-01-09 00:00:00,21256812474.0,139847654.0
2024-01-10 00:00:00,21327302028.0,206867285.0
2024-01-11 00:00:00,21269401135.0,129043286.0
2024-01-12 00:00:00,21282641836.0,146458888.0
2024-01-15 00:00:00,21282973022.0,110415832.0
2024-01-16 00:00:00,21244176916.0,145315094.0
2024-01-17 00:00:00,21272610768.0,180235152.0
2024-01-18 00:00:00,21139301599.0,200410794.0
2024-01-19 00:00:00,21099418919.0,198839989.0
2024-01-22 00:00:00,20944564173.0,232135299.0
2024-01-23 00:00:00,20958578979.0,230685353.0
2024-01-24 00:00:00,20941396234.0,289809565.0
2024-01-25 00:00:00,20869610449.0,379731913.0
2024-01-26 00:00:00,20843167879.0,312339371.0
2024-01-29 00:00:00,20824173567.0,257853096.0
2024-01-30 00:00:00,20798245763.0,208152970.0
2024-01-31 00:00:00,20764968621.0,196239055.0
2024-02-01 00:00:00,20660381201.0,123697597.0
2024-02-02 00:00:00,20439239262.0,179516406.0
2024-02-05 00:00:00,20210915020.0,166289463.0
2024-02-06 00:00:00,20179106266.0,301528949.0
2024-02-07 00:00:00,20023912475.0,213065776.0
2024-02-08 00:00:00,19736432558.0,134554148.0
2024-02-19 00:00:00,19687915341.0,191333349.0
2024-02-20 00:00:00,19699027478.0,191188914.0
2024-02-21 00:00:00,19791306830.0,598344118.0
2024-02-22 00:00:00,19656750738.0,206604895.0
2024-02-23 00:00:00,19556855761.0,198905384.0
2024-02-26 00:00:00,19732504582.0,392800232.0
2024-02-27 00:00:00,19847755143.0,293268494.0
2024-02-28 00:00:00,19870483525.0,312012911.0
2024-02-29 00:00:00,19855550807.0,205514195.0
2024-03-01 00:00:00,19823096195.0,204087583.0
2024-03-04 00:00:00,19912065506.0,308702743.0
2024-03-05 00:00:00,19831422644.0,235155463.0
2024-03-06 00:00:00,19867326188.0,204335539.0
2024-03-07 00:00:00,19806263813.0,330663538.0
2024-03-08 00:00:00,19775769542.0,194983395.0
2024-03-11 00:00:00,19779248484.0,215635140.0
2024-03-12 00:00:00,19769272453.0,350070999.0
2024-03-13 00:00:00,19903843989.0,462829190.0
2024-03-14 00:00:00,19880051466.0,184394689.0
2024-03-15 00:00:00,19903830825.0,223738234.0
2024-03-18 00:00:00,19976621340.0,222823222.0
2024-03-19 00:00:00,20128769212.0,315571712.0
2024-03-20 00:00:00,20129054124.0,104588792.0
2024-03-21 00:00:00,20201178942.0,228665744.0
2024-03-22 00:00:00,20379084515.0,615461822.0
2024-03-25 00:00:00,20308047325.0,129100383.0
2024-03-26 00:00:00,20287988506.0,153202489.0
2024-03-27 00:00:00,20287903575.0,164383427.0
2024-03-28 00:00:00,20271759542.0,147800017.0
2024-03-29 00:00:00,20236342792.0,171015985.0
2024-04-01 00:00:00,20203551634.0,164522099.0
2024-04-02 00:00:00,20239403680.0,195838522.0
2024-04-03 00:00:00,20277670935.0,219398835.0
2024-04-08 00:00:00,20264420621.0,152911841.0
2024-04-09 00:00:00,20272364612.0,109632472.0
2024-04-10 00:00:00,20343500301.0,274944579.0
2024-04-11 00:00:00,20415340864.0,203230560.0
2024-04-12 00:00:00,20481291834.0,439460589.0
2024-04-15 00:00:00,20519362844.0,317907379.0
2024-04-16 00:00:00,20448283773.0,222007169.0
2024-04-17 00:00:00,20409913016.0,212338669.0
2024-04-18 00:00:00,20386365916.0,310929343.0
2024-04-19 00:00:00,20307336377.0,141869872.0
2024-04-22 00:00:00,20285080082.0,146103201.0
2024-04-23 00:00:00,20206142790.0,100881816.0
2024-04-24 00:00:00,20088515375.0,170284002.0
2024-04-25 00:00:00,20024697376.0,199158892.0
2024-04-26 00:00:00,19851361479.0,276940380.0
2024-04-29 00:00:00,19873363016.0,407204997.0
2024-04-30 00:00:00,19766365901.0,213707821.0
2024-05-06 00:00:00,19659280918.0,932847175.0
2024-05-07 00:00:00,19636845759.0,253695530.0
2024-05-08 00:00:00,19640160787.0,245435405.0
2024-05-09 00:00:00,19561069154.0,192521346.0
2024-05-10 00:00:00,19504108037.0,284888319.0
2024-05-13 00:00:00,19541919544.0,281836104.0
2024-05-14 00:00:00,19614199861.0,267870436.0
2024-05-15 00:00:00,19632159786.0,209668458.0
2024-05-16 00:00:00,19810976855.0,609643608.0
2024-05-17 00:00:00,19420755348.0,778201679.0
2024-05-20 00:00:00,19355492408.0,519926730.0
2024-05-21 00:00:00,19179666160.0,227810147.0
2024-05-22 00:00:00,19308477277.0,479157881.0
2024-05-23 00:00:00,19085983384.0,235650566.0
2024-05-24 00:00:00,19141872596.0,307286970.0
2024-05-27 00:00:00,19167154260.0,152496933.0
2024-05-28 00:00:00,19148431489.0,174071545.0
2024-05-29 00:00:00,19127036454.0,169821769.0
2024-05-30 00:00:00,19165801088.0,160653410.0
2024-05-31 00:00:00,19230649110.0,234832271.0
2024-06-03 00:00:00,19218740133.0,196597463.0
2024-06-04 00:00:00,19288633050.0,210238655.0
2024-06-05 00:00:00,19332159967.0,184303437.0
2024-06-06 00:00:00,19453006306.0,286657609.0
2024-06-07 00:00:00,19451676209.0,190905010.0
2024-06-11 00:00:00,19482519713.0,171486546.0
2024-06-12 00:00:00,19522264849.0,169262832.0
2024-06-13 00:00:00,19537173993.0,125333275.0
2024-06-14 00:00:00,19514898997.0,192666144.0
2024-06-17 00:00:00,19544964909.0,149357045.0
2024-06-18 00:00:00,19570983869.0,169062601.0
2024-06-19 00:00:00,19555170159.0,151774422.0
2024-06-20 00:00:00,19492036510.0,123309993.0
2024-06-21 00:00:00,19530066959.0,222919607.0
2024-06-24 00:00:00,19437741908.0,126114665.0
2024-06-25 00:00:00,19483970372.0,192356755.0
2024-06-26 00:00:00,19526925848.0,175851808.0
2024-06-27 00:00:00,19521878168.0,144100470.0
2024-06-28 00:00:00,19504674131.0,133668387.0
2024-07-01 00:00:00,19532838103.0,303111736.0
2024-07-02 00:00:00,19447839699.0,220807276.0
2024-07-03 00:00:00,19478658813.0,155802049.0
2024-07-04 00:00:00,19488402932.0,131083116.0
2024-07-05 00:00:00,19475253922.0,188064434.0
2024-07-08 00:00:00,19457424846.0,110293685.0
2024-07-09 00:00:00,19412429628.0,123910927.0
2024-07-10 00:00:00,19354091614.0,95787933.0
2024-07-11 00:00:00,19348393562.0,155179087.0
2024-07-12 00:00:00,19239141674.0,130676991.0
2024-07-15 00:00:00,19223858660.0,114362786.0
2024-07-16 00:00:00,19456033079.0,490017202.0
2024-07-17 00:00:00,19328686979.0,216050636.0
2024-07-18 00:00:00,19262368310.0,126924679.0
2024-07-19 00:00:00,19133072902.0,125851098.0
2024-07-22 00:00:00,19100569046.0,149293199.0
2024-07-23 00:00:00,19055979437.0,150539221.0
2024-07-24 00:00:00,19005370028.0,93626091.0
2024-07-25 00:00:00,19001753694.0,120014737.0
2024-07-26 00:00:00,18877636752.0,143779954.0
2024-07-29 00:00:00,18817574459.0,97090387.0
2024-07-30 00:00:00,18795833382.0,75186577.0
2024-07-31 00:00:00,18787527744.0,235386008.0
2024-08-01 00:00:00,18765091919.0,99050468.0
2024-08-02 00:00:00,18768251722.0,133826832.0
2024-08-05 00:00:00,18705544314.0,100659101.0
2024-08-06 00:00:00,18718219011.0,325342509.0
2024-08-07 00:00:00,18713850628.0,121919386.0
2024-08-08 00:00:00,18670678523.0,59868633.0
2024-08-09 00:00:00,18695391672.0,96954677.0
2024-08-12 00:00:00,18688044666.0,54780416.0
2024-08-13 00:00:00,18690380175.0,65951654.0
2024-08-14 00:00:00,18698540993.0,53524571.0
2024-08-15 00:00:00,18623873395.0,104671992.0
2024-08-16 00:00:00,18620975143.0,97272624.0
2024-08-19 00:00:00,18593465693.0,109272515.0
2024-08-20 00:00:00,18588753769.0,97900860.0
2024-08-21 00:00:00,18584309323.0,72011851.0
2024-08-22 00:00:00,18586137435.0,111604164.0
2024-08-23 00:00:00,18412461695.0,265168589.0
2024-08-26 00:00:00,18415846810.0,175061449.0
2024-08-27 00:00:00,18432863475.0,145954055.0
2024-08-28 00:00:00,18366525209.0,139488835.0
2024-08-29 00:00:00,18423515897.0,225992329.0
2024-08-30 00:00:00,18219078763.0,293550521.0
2024-09-02 00:00:00,18368146000.0,383484400.0
2024-09-03 00:00:00,18367570616.0,147244053.0
2024-09-04 00:00:00,18375772978.0,188247542.0
2024-09-05 00:00:00,18255508777.0,125708839.0
2024-09-06 00:00:00,18184152746.0,143270985.0
2024-09-09 00:00:00,18156466296.0,120609578.0
2024-09-10 00:00:00,18162967477.0,101715219.0
2024-09-11 00:00:00,18140614979.0,115851801.0
2024-09-12 00:00:00,18155192998.0,168295061.0
2024-09-13 00:00:00,18094285674.0,103050144.0
2024-09-18 00:00:00,18021948800.0,134896250.0
2024-09-19 00:00:00,18002094399.0,126098613.0
2024-09-20 00:00:00,17931555259.0,131041440.0
2024-09-23 00:00:00,17884852826.0,109568604.0
2024-09-24 00:00:00,17773526859.0,429250492.0
2024-09-25 00:00:00,17729095094.0,563086460.0
2024-09-26 00:00:00,17694862972.0,731520265.0
2024-09-27 00:00:00,17907210485.0,910853415.0
2024-09-30 00:00:00,19109412569.0,2454466698.0
2024-10-08 00:00:00,20222884911.0,3509753796.0
2024-10-09 00:00:00,21062862203.0,2841057807.0
2024-10-10 00:00:00,22063852081.0,2598280987.0
2024-10-11 00:00:00,22043419033.0,1276518062.0
2024-10-14 00:00:00,22202071437.0,1062368770.0
2024-10-15 00:00:00,21724558139.0,618745261.0
2024-10-16 00:00:00,21347547495.0,372613295.0
2024-10-17 00:00:00,21268221846.0,704967525.0
2024-10-18 00:00:00,21189500246.0,1031083279.0
2024-10-21 00:00:00,21406377431.0,732930865.0
2024-10-22 00:00:00,21473709690.0,705786980.0
2024-10-23 00:00:00,21667657572.0,1332707767.0
2024-10-24 00:00:00,21779718658.0,444994313.0
2024-10-25 00:00:00,21846420489.0,421347526.0
2024-10-28 00:00:00,21857136386.0,434931033.0
2024-10-29 00:00:00,21688364297.0,400119095.0
2024-10-30 00:00:00,21634242866.0,839898060.0
2024-10-31 00:00:00,21593152710.0,612661849.0
2024-11-01 00:00:00,21483197106.0,383631986.0
2024-11-04 00:00:00,21419683200.0,299688078.0
2024-11-05 00:00:00,21506235508.0,1071020831.0
2024-11-06 00:00:00,21964882129.0,1300482603.0
2024-11-07 00:00:00,22306935119.0,1629504179.0
2024-11-08 00:00:00,22397343230.0,1187315013.0
2024-11-11 00:00:00,22732864325.0,1021625146.0
2024-11-12 00:00:00,22868492822.0,780196229.0
2024-11-13 00:00:00,22741235197.0,308862823.0
2024-11-14 00:00:00,22487191132.0,345214197.0
2024-11-15 00:00:00,22402715433.0,515737115.0
2024-11-18 00:00:00,22440596811.0,462728276.0
2024-11-19 00:00:00,22496810592.0,343116850.0
2024-11-20 00:00:00,22626817309.0,329783179.0
2024-11-21 00:00:00,22648340449.0,282573803.0
2024-11-22 00:00:00,22890135912.0,684073363.0
2024-11-25 00:00:00,22845593854.0,302381784.0
2024-11-26 00:00:00,22728779311.0,139196494.0
2024-11-27 00:00:00,22780832499.0,275402822.0
2024-11-28 00:00:00,22892075113.0,307554446.0
2024-11-29 00:00:00,22887151521.0,305783676.0
2024-12-02 00:00:00,22806880863.0,195081085.0
2024-12-03 00:00:00,22767352899.0,190333857.0
2024-12-04 00:00:00,22787527974.0,226514644.0
2024-12-05 00:00:00,22792514107.0,153510258.0
2024-12-06 00:00:00,22830074054.0,540436657.0
2024-12-09 00:00:00,22769143411.0,287891031.0
2024-12-10 00:00:00,22806640177.0,747916124.0
2024-12-11 00:00:00,22863373845.0,312935282.0
2024-12-12 00:00:00,22890110929.0,355567683.0
2024-12-13 00:00:00,22971027655.0,497451965.0
2024-12-16 00:00:00,23045173628.0,483315460.0
2024-12-17 00:00:00,23083048227.0,308588331.0
2024-12-18 00:00:00,23160146295.0,303399997.0
2024-12-19 00:00:00,23167433951.0,197241946.0
2024-12-20 00:00:00,23214038250.0,274417424.0
2024-12-23 00:00:00,23184364149.0,267829264.0
2024-12-24 00:00:00,23139142537.0,258429329.0
2024-12-25 00:00:00,23145301681.0,292834032.0
2024-12-26 00:00:00,23241658203.0,290335613.0
2024-12-27 00:00:00,23208003228.0,300888938.0
2024-12-30 00:00:00,23110885672.0,208141205.0
2024-12-31 00:00:00,23310336167.0,494011758.0
2025-01-02 00:00:00,23693698474.0,844222798.0
2025-01-03 00:00:00,23684088622.0,277245643.0
2025-01-06 00:00:00,23639681970.0,157522946.0
2025-01-07 00:00:00,23650416085.0,203136126.0
2025-01-08 00:00:00,23639731142.0,240402671.0
2025-01-09 00:00:00,23665839463.0,243684890.0
2025-01-10 00:00:00,23707414981.0,302580050.0
2025-01-13 00:00:00,23738642538.0,276051723.0
2025-01-14 00:00:00,23965767788.0,461679541.0
2025-01-15 00:00:00,24010456426.0,283779943.0
2025-01-16 00:00:00,24027052149.0,322563658.0
2025-01-17 00:00:00,23891009435.0,181831759.0
2025-01-20 00:00:00,23862535372.0,251698098.0
2025-01-21 00:00:00,23851008373.0,239965776.0
2025-01-22 00:00:00,23924809052.0,338919600.0
2025-01-23 00:00:00,23904168400.0,622673346.0
2025-01-24 00:00:00,23739142714.0,251100281.0
2025-01-27 00:00:00,23541962469.0,201244126.0
2025-02-05 00:00:00,23846105802.0,549556235.0
2025-02-06 00:00:00,23801961660.0,204399604.0
2025-02-07 00:00:00,23722714486.0,440455180.0
2025-02-10 00:00:00,23792214000.0,312594309.0
2025-02-11 00:00:00,23879715365.0,311142288.0
2025-02-12 00:00:00,23769824537.0,312200169.0
2025-02-13 00:00:00,23780344086.0,417345173.0
2025-02-14 00:00:00,23686524365.0,390176381.0
2025-02-17 00:00:00,23759747229.0,423875907.0
2025-02-18 00:00:00,23645487790.0,383749305.0
2025-02-19 00:00:00,23599085558.0,246610189.0
2025-02-20 00:00:00,23739407243.0,374857106.0
2025-02-21 00:00:00,23704231243.0,467227476.0
